Q,FWHM,R,sig_R
0.0217885,0.000407223,0.203903,0.00227833
0.022041,0.000413305,0.181877,0.00209632
0.0222994,0.000419565,0.172799,0.00199525
0.0225639,0.000426012,0.15507,0.00184204
0.0228347,0.000432657,0.141737,0.00171628
0.0231122,0.000439505,0.128531,0.00159674
0.0233964,0.000446568,0.114602,0.00146894
0.0236878,0.000453853,0.101601,0.00134979
0.0239865,0.000461373,0.0888077,0.00122882
0.0242928,0.000469138,0.0799694,0.00113853
0.024607,0.00047716,0.0662118,0.00100477
0.0249295,0.000485452,0.0553182,0.000896007
0.0252606,0.000494027,0.0467096,0.000802843
0.0256005,0.000502898,0.0396948,0.00071945
0.0259497,0.000512082,0.0328227,0.000637488
0.0263086,0.000521593,0.0256414,0.000550102
0.0266776,0.00053145,0.0196679,0.000467645
0.0269928,0.000520104,0.0159159,0.000506408
0.0272506,0.000526573,0.0130983,0.000451691
0.0275133,0.000533198,0.0110682,0.000407823
0.0277812,0.000539987,0.00820392,0.000346164
0.0280544,0.000546944,0.00678551,0.00031143
0.0283329,0.000554077,0.00549902,0.000275965
0.0286171,0.000561391,0.00443009,0.000244826
0.028907,0.000568893,0.00317906,0.000203392
0.0292028,0.00057659,0.00212569,0.000164721
0.0295048,0.00058449,0.00188707,0.000152357
0.0298131,0.000592601,0.00124394,0.000123341
0.0301279,0.000600929,0.00140239,0.000128736
0.0304494,0.000609486,0.00131876,0.00012358
0.0307778,0.000618279,0.00141797,0.000125504
0.0311134,0.000627318,0.00218918,0.000153155
0.0314564,0.000636613,0.00218269,0.000150868
0.031807,0.000646175,0.00295735,0.000172007
0.0321656,0.000656016,0.00340239,0.000184453
0.0325323,0.000666144,0.00375121,0.000190297
0.0328484,0.000726524,0.00540752,0.000298362
0.0329075,0.000676576,0.00490697,0.000215168
0.0332169,0.000738189,0.00562175,0.000289644
0.0332914,0.000687323,0.00470219,0.000209367
0.0335938,0.000750209,0.0062324,0.000298812
0.0336845,0.000698399,0.00593242,0.000233025
0.0339793,0.000762595,0.00664102,0.000281697
0.0340868,0.000709819,0.00634418,0.000238479
0.0343737,0.000775371,0.00703513,0.000271896
0.034499,0.000721598,0.00685073,0.000250795
0.0347775,0.000788547,0.00749776,0.000262816
0.0349212,0.000733754,0.00781634,0.000268887
0.0351908,0.000802145,0.00804671,0.00025599
0.0353539,0.000746302,0.00871525,0.000282373
0.035614,0.000816183,0.0085921,0.000256374
0.0357974,0.000759262,0.00814318,0.00027291
0.0360476,0.000830682,0.00888485,0.000248716
0.0362522,0.000772654,0.00884949,0.000286749
0.0364918,0.000845663,0.00882413,0.000238701
0.0367187,0.000786498,0.0090601,0.000290844
0.0369215,0.000850421,0.00866024,0.000236009
0.0371974,0.000800818,0.00875971,0.000283484
0.0373353,0.000864321,0.00885822,0.000225308
0.0376887,0.000815635,0.00925681,0.000302317
0.0377585,0.000878646,0.00873571,0.000213233
0.0381914,0.000893418,0.00910167,0.000211711
0.0386343,0.000908648,0.00938952,0.000208713
0.0387113,0.000846866,0.00883456,0.00030759
0.0390876,0.000924364,0.00879219,0.000194331
0.0392438,0.000863335,0.00876055,0.000298609
0.0395517,0.000940587,0.00828629,0.000180713
0.039791,0.000880413,0.00825089,0.000284666
0.040027,0.000957337,0.00817386,0.000170365
0.0403537,0.000898134,0.00789177,0.000275355
0.0405138,0.000974642,0.0075638,0.000154978
0.0409326,0.000916531,0.00745662,0.000266126
0.0410126,0.000992525,0.0069596,0.000141792
0.0415238,0.00101102,0.00675591,0.000133473
0.042048,0.00103015,0.00603111,0.000119412
0.0421417,0.000955508,0.00606254,0.000236334
0.0425855,0.00104994,0.00554568,0.000109499
0.0427734,0.00097617,0.00524519,0.000219163
0.043137,0.00107044,0.00496335,9.89074e-05
0.0434244,0.000997676,0.00494415,0.000218272
